Origin City,Origin State,Origin Zip Code,Destination City,Destination State,Destination Zip Code,Truck Type,ID (or Optional field),Note: Omit the header line when submitting your request
ATLANTA,GA,,CHICAGO,IL,,VAN,,
ATLANTA,GA,,DALLAS,TX,,VAN,,
ATLANTA,GA,,LOS ANGELES,CA,,VAN,,
ATLANTA,GA,,PHILADELPHIA,PA,,VAN,,
ATLANTA,GA,,SEATTLE,WA,,VAN,,
ATLANTA,GA,,HOUSTON,TX,,VAN,,
ATLANTA,GA,,MINNEAPOLIS,MN,,VAN,,
ATLANTA,GA,,MEMPHIS,TN,,VAN,,
ATLANTA,GA,,COLUMBUS,OH,,VAN,,
ATLANTA,GA,,LOUISVILLE,KY,,VAN,,
ATLANTA,GA,,CHARLOTTE,NC,,VAN,,
ATLANTA,GA,,DETROIT,MI,,VAN,,
ATLANTA,GA,,ST LOUIS,MO,,VAN,,
ATLANTA,GA,,BALTIMORE,MD,,VAN,,
ATLANTA,GA,,MILWAUKEE,WI,,VAN,,
ATLANTA,GA,,JACKSONVILLE,FL,,VAN,,
ATLANTA,GA,,NEW ORLEANS,LA,,VAN,,
CHICAGO,IL,,ATLANTA,GA,,VAN,,
CHICAGO,IL,,DALLAS,TX,,VAN,,
CHICAGO,IL,,LOS ANGELES,CA,,VAN,,
CHICAGO,IL,,PHILADELPHIA,PA,,VAN,,
CHICAGO,IL,,SEATTLE,WA,,VAN,,
CHICAGO,IL,,HOUSTON,TX,,VAN,,
CHICAGO,IL,,MINNEAPOLIS,MN,,VAN,,
CHICAGO,IL,,MEMPHIS,TN,,VAN,,
CHICAGO,IL,,COLUMBUS,OH,,VAN,,
CHICAGO,IL,,LOUISVILLE,KY,,VAN,,
CHICAGO,IL,,CHARLOTTE,NC,,VAN,,
CHICAGO,IL,,DETROIT,MI,,VAN,,
CHICAGO,IL,,ST LOUIS,MO,,VAN,,
CHICAGO,IL,,BALTIMORE,MD,,VAN,,
CHICAGO,IL,,MILWAUKEE,WI,,VAN,,
CHICAGO,IL,,JACKSONVILLE,FL,,VAN,,
CHICAGO,IL,,NEW ORLEANS,LA,,VAN,,
DALLAS,TX,,ATLANTA,GA,,VAN,,
DALLAS,TX,,CHICAGO,IL,,VAN,,
DALLAS,TX,,LOS ANGELES,CA,,VAN,,
DALLAS,TX,,PHILADELPHIA,PA,,VAN,,
DALLAS,TX,,SEATTLE,WA,,VAN,,
DALLAS,TX,,HOUSTON,TX,,VAN,,
DALLAS,TX,,MINNEAPOLIS,MN,,VAN,,
DALLAS,TX,,MEMPHIS,TN,,VAN,,
DALLAS,TX,,COLUMBUS,OH,,VAN,,
DALLAS,TX,,LOUISVILLE,KY,,VAN,,
DALLAS,TX,,CHARLOTTE,NC,,VAN,,
DALLAS,TX,,DETROIT,MI,,VAN,,
DALLAS,TX,,ST LOUIS,MO,,VAN,,
DALLAS,TX,,BALTIMORE,MD,,VAN,,
DALLAS,TX,,MILWAUKEE,WI,,VAN,,
DALLAS,TX,,JACKSONVILLE,FL,,VAN,,
DALLAS,TX,,NEW ORLEANS,LA,,VAN,,
LOS ANGELES,CA,,ATLANTA,GA,,VAN,,
LOS ANGELES,CA,,CHICAGO,IL,,VAN,,
LOS ANGELES,CA,,DALLAS,TX,,VAN,,
LOS ANGELES,CA,,PHILADELPHIA,PA,,VAN,,
LOS ANGELES,CA,,SEATTLE,WA,,VAN,,
LOS ANGELES,CA,,HOUSTON,TX,,VAN,,
LOS ANGELES,CA,,MINNEAPOLIS,MN,,VAN,,
LOS ANGELES,CA,,MEMPHIS,TN,,VAN,,
LOS ANGELES,CA,,COLUMBUS,OH,,VAN,,
LOS ANGELES,CA,,LOUISVILLE,KY,,VAN,,
LOS ANGELES,CA,,CHARLOTTE,NC,,VAN,,
LOS ANGELES,CA,,DETROIT,MI,,VAN,,
LOS ANGELES,CA,,ST LOUIS,MO,,VAN,,
LOS ANGELES,CA,,BALTIMORE,MD,,VAN,,
LOS ANGELES,CA,,MILWAUKEE,WI,,VAN,,
LOS ANGELES,CA,,JACKSONVILLE,FL,,VAN,,
LOS ANGELES,CA,,NEW ORLEANS,LA,,VAN,,
PHILADELPHIA,PA,,ATLANTA,GA,,VAN,,
PHILADELPHIA,PA,,CHICAGO,IL,,VAN,,
PHILADELPHIA,PA,,DALLAS,TX,,VAN,,
PHILADELPHIA,PA,,LOS ANGELES,CA,,VAN,,
PHILADELPHIA,PA,,SEATTLE,WA,,VAN,,
PHILADELPHIA,PA,,HOUSTON,TX,,VAN,,
PHILADELPHIA,PA,,MINNEAPOLIS,MN,,VAN,,
PHILADELPHIA,PA,,MEMPHIS,TN,,VAN,,
PHILADELPHIA,PA,,COLUMBUS,OH,,VAN,,
PHILADELPHIA,PA,,LOUISVILLE,KY,,VAN,,
PHILADELPHIA,PA,,CHARLOTTE,NC,,VAN,,
PHILADELPHIA,PA,,DETROIT,MI,,VAN,,
PHILADELPHIA,PA,,ST LOUIS,MO,,VAN,,
PHILADELPHIA,PA,,BALTIMORE,MD,,VAN,,
PHILADELPHIA,PA,,MILWAUKEE,WI,,VAN,,
PHILADELPHIA,PA,,JACKSONVILLE,FL,,VAN,,
PHILADELPHIA,PA,,NEW ORLEANS,LA,,VAN,,
SEATTLE,WA,,ATLANTA,GA,,VAN,,
SEATTLE,WA,,CHICAGO,IL,,VAN,,
SEATTLE,WA,,DALLAS,TX,,VAN,,
SEATTLE,WA,,LOS ANGELES,CA,,VAN,,
SEATTLE,WA,,PHILADELPHIA,PA,,VAN,,
SEATTLE,WA,,HOUSTON,TX,,VAN,,
SEATTLE,WA,,MINNEAPOLIS,MN,,VAN,,
SEATTLE,WA,,MEMPHIS,TN,,VAN,,
SEATTLE,WA,,COLUMBUS,OH,,VAN,,
SEATTLE,WA,,LOUISVILLE,KY,,VAN,,
SEATTLE,WA,,CHARLOTTE,NC,,VAN,,
SEATTLE,WA,,DETROIT,MI,,VAN,,
SEATTLE,WA,,ST LOUIS,MO,,VAN,,
SEATTLE,WA,,BALTIMORE,MD,,VAN,,
SEATTLE,WA,,MILWAUKEE,WI,,VAN,,
SEATTLE,WA,,JACKSONVILLE,FL,,VAN,,
SEATTLE,WA,,NEW ORLEANS,LA,,VAN,,
HOUSTON,TX,,ATLANTA,GA,,VAN,,
HOUSTON,TX,,CHICAGO,IL,,VAN,,
HOUSTON,TX,,DALLAS,TX,,VAN,,
HOUSTON,TX,,LOS ANGELES,CA,,VAN,,
HOUSTON,TX,,PHILADELPHIA,PA,,VAN,,
HOUSTON,TX,,SEATTLE,WA,,VAN,,
HOUSTON,TX,,MINNEAPOLIS,MN,,VAN,,
HOUSTON,TX,,MEMPHIS,TN,,VAN,,
HOUSTON,TX,,COLUMBUS,OH,,VAN,,
HOUSTON,TX,,LOUISVILLE,KY,,VAN,,
HOUSTON,TX,,CHARLOTTE,NC,,VAN,,
HOUSTON,TX,,DETROIT,MI,,VAN,,
HOUSTON,TX,,ST LOUIS,MO,,VAN,,
HOUSTON,TX,,BALTIMORE,MD,,VAN,,
HOUSTON,TX,,MILWAUKEE,WI,,VAN,,
HOUSTON,TX,,JACKSONVILLE,FL,,VAN,,
HOUSTON,TX,,NEW ORLEANS,LA,,VAN,,
MINNEAPOLIS,MN,,ATLANTA,GA,,VAN,,
MINNEAPOLIS,MN,,CHICAGO,IL,,VAN,,
MINNEAPOLIS,MN,,DALLAS,TX,,VAN,,
MINNEAPOLIS,MN,,LOS ANGELES,CA,,VAN,,
MINNEAPOLIS,MN,,PHILADELPHIA,PA,,VAN,,
MINNEAPOLIS,MN,,SEATTLE,WA,,VAN,,
MINNEAPOLIS,MN,,HOUSTON,TX,,VAN,,
MINNEAPOLIS,MN,,MEMPHIS,TN,,VAN,,
MINNEAPOLIS,MN,,COLUMBUS,OH,,VAN,,
MINNEAPOLIS,MN,,LOUISVILLE,KY,,VAN,,
MINNEAPOLIS,MN,,CHARLOTTE,NC,,VAN,,
MINNEAPOLIS,MN,,DETROIT,MI,,VAN,,
MINNEAPOLIS,MN,,ST LOUIS,MO,,VAN,,
MINNEAPOLIS,MN,,BALTIMORE,MD,,VAN,,
MINNEAPOLIS,MN,,MILWAUKEE,WI,,VAN,,
MINNEAPOLIS,MN,,JACKSONVILLE,FL,,VAN,,
MINNEAPOLIS,MN,,NEW ORLEANS,LA,,VAN,,
MEMPHIS,TN,,ATLANTA,GA,,VAN,,
MEMPHIS,TN,,CHICAGO,IL,,VAN,,
MEMPHIS,TN,,DALLAS,TX,,VAN,,
MEMPHIS,TN,,LOS ANGELES,CA,,VAN,,
MEMPHIS,TN,,PHILADELPHIA,PA,,VAN,,
MEMPHIS,TN,,SEATTLE,WA,,VAN,,
MEMPHIS,TN,,HOUSTON,TX,,VAN,,
MEMPHIS,TN,,MINNEAPOLIS,MN,,VAN,,
MEMPHIS,TN,,COLUMBUS,OH,,VAN,,
MEMPHIS,TN,,LOUISVILLE,KY,,VAN,,
MEMPHIS,TN,,CHARLOTTE,NC,,VAN,,
MEMPHIS,TN,,DETROIT,MI,,VAN,,
MEMPHIS,TN,,ST LOUIS,MO,,VAN,,
MEMPHIS,TN,,BALTIMORE,MD,,VAN,,
MEMPHIS,TN,,MILWAUKEE,WI,,VAN,,
MEMPHIS,TN,,JACKSONVILLE,FL,,VAN,,
MEMPHIS,TN,,NEW ORLEANS,LA,,VAN,,
COLUMBUS,OH,,ATLANTA,GA,,VAN,,
COLUMBUS,OH,,CHICAGO,IL,,VAN,,
COLUMBUS,OH,,DALLAS,TX,,VAN,,
COLUMBUS,OH,,LOS ANGELES,CA,,VAN,,
COLUMBUS,OH,,PHILADELPHIA,PA,,VAN,,
COLUMBUS,OH,,SEATTLE,WA,,VAN,,
COLUMBUS,OH,,HOUSTON,TX,,VAN,,
COLUMBUS,OH,,MINNEAPOLIS,MN,,VAN,,
COLUMBUS,OH,,MEMPHIS,TN,,VAN,,
COLUMBUS,OH,,LOUISVILLE,KY,,VAN,,
COLUMBUS,OH,,CHARLOTTE,NC,,VAN,,
COLUMBUS,OH,,DETROIT,MI,,VAN,,
COLUMBUS,OH,,ST LOUIS,MO,,VAN,,
COLUMBUS,OH,,BALTIMORE,MD,,VAN,,
COLUMBUS,OH,,MILWAUKEE,WI,,VAN,,
COLUMBUS,OH,,JACKSONVILLE,FL,,VAN,,
COLUMBUS,OH,,NEW ORLEANS,LA,,VAN,,
LOUISVILLE,KY,,ATLANTA,GA,,VAN,,
LOUISVILLE,KY,,CHICAGO,IL,,VAN,,
LOUISVILLE,KY,,DALLAS,TX,,VAN,,
LOUISVILLE,KY,,LOS ANGELES,CA,,VAN,,
LOUISVILLE,KY,,PHILADELPHIA,PA,,VAN,,
LOUISVILLE,KY,,SEATTLE,WA,,VAN,,
LOUISVILLE,KY,,HOUSTON,TX,,VAN,,
LOUISVILLE,KY,,MINNEAPOLIS,MN,,VAN,,
LOUISVILLE,KY,,MEMPHIS,TN,,VAN,,
LOUISVILLE,KY,,COLUMBUS,OH,,VAN,,
LOUISVILLE,KY,,CHARLOTTE,NC,,VAN,,
LOUISVILLE,KY,,DETROIT,MI,,VAN,,
LOUISVILLE,KY,,ST LOUIS,MO,,VAN,,
LOUISVILLE,KY,,BALTIMORE,MD,,VAN,,
LOUISVILLE,KY,,MILWAUKEE,WI,,VAN,,
LOUISVILLE,KY,,JACKSONVILLE,FL,,VAN,,
LOUISVILLE,KY,,NEW ORLEANS,LA,,VAN,,
CHARLOTTE,NC,,ATLANTA,GA,,VAN,,
CHARLOTTE,NC,,CHICAGO,IL,,VAN,,
CHARLOTTE,NC,,DALLAS,TX,,VAN,,
CHARLOTTE,NC,,LOS ANGELES,CA,,VAN,,
CHARLOTTE,NC,,PHILADELPHIA,PA,,VAN,,
CHARLOTTE,NC,,SEATTLE,WA,,VAN,,
CHARLOTTE,NC,,HOUSTON,TX,,VAN,,
CHARLOTTE,NC,,MINNEAPOLIS,MN,,VAN,,
CHARLOTTE,NC,,MEMPHIS,TN,,VAN,,
CHARLOTTE,NC,,COLUMBUS,OH,,VAN,,
CHARLOTTE,NC,,LOUISVILLE,KY,,VAN,,
CHARLOTTE,NC,,DETROIT,MI,,VAN,,
CHARLOTTE,NC,,ST LOUIS,MO,,VAN,,
CHARLOTTE,NC,,BALTIMORE,MD,,VAN,,
CHARLOTTE,NC,,MILWAUKEE,WI,,VAN,,
CHARLOTTE,NC,,JACKSONVILLE,FL,,VAN,,
CHARLOTTE,NC,,NEW ORLEANS,LA,,VAN,,
DETROIT,MI,,ATLANTA,GA,,VAN,,
DETROIT,MI,,CHICAGO,IL,,VAN,,
DETROIT,MI,,DALLAS,TX,,VAN,,
DETROIT,MI,,LOS ANGELES,CA,,VAN,,
DETROIT,MI,,PHILADELPHIA,PA,,VAN,,
DETROIT,MI,,SEATTLE,WA,,VAN,,
DETROIT,MI,,HOUSTON,TX,,VAN,,
DETROIT,MI,,MINNEAPOLIS,MN,,VAN,,
DETROIT,MI,,MEMPHIS,TN,,VAN,,
DETROIT,MI,,COLUMBUS,OH,,VAN,,
DETROIT,MI,,LOUISVILLE,KY,,VAN,,
DETROIT,MI,,CHARLOTTE,NC,,VAN,,
DETROIT,MI,,ST LOUIS,MO,,VAN,,
DETROIT,MI,,BALTIMORE,MD,,VAN,,
DETROIT,MI,,MILWAUKEE,WI,,VAN,,
DETROIT,MI,,JACKSONVILLE,FL,,VAN,,
DETROIT,MI,,NEW ORLEANS,LA,,VAN,,
ST LOUIS,MO,,ATLANTA,GA,,VAN,,
ST LOUIS,MO,,CHICAGO,IL,,VAN,,
ST LOUIS,MO,,DALLAS,TX,,VAN,,
ST LOUIS,MO,,LOS ANGELES,CA,,VAN,,
ST LOUIS,MO,,PHILADELPHIA,PA,,VAN,,
ST LOUIS,MO,,SEATTLE,WA,,VAN,,
ST LOUIS,MO,,HOUSTON,TX,,VAN,,
ST LOUIS,MO,,MINNEAPOLIS,MN,,VAN,,
ST LOUIS,MO,,MEMPHIS,TN,,VAN,,
ST LOUIS,MO,,COLUMBUS,OH,,VAN,,
ST LOUIS,MO,,LOUISVILLE,KY,,VAN,,
ST LOUIS,MO,,CHARLOTTE,NC,,VAN,,
ST LOUIS,MO,,DETROIT,MI,,VAN,,
ST LOUIS,MO,,BALTIMORE,MD,,VAN,,
ST LOUIS,MO,,MILWAUKEE,WI,,VAN,,
ST LOUIS,MO,,JACKSONVILLE,FL,,VAN,,
ST LOUIS,MO,,NEW ORLEANS,LA,,VAN,,
BALTIMORE,MD,,ATLANTA,GA,,VAN,,
BALTIMORE,MD,,CHICAGO,IL,,VAN,,
BALTIMORE,MD,,DALLAS,TX,,VAN,,
BALTIMORE,MD,,LOS ANGELES,CA,,VAN,,
BALTIMORE,MD,,PHILADELPHIA,PA,,VAN,,
BALTIMORE,MD,,SEATTLE,WA,,VAN,,
BALTIMORE,MD,,HOUSTON,TX,,VAN,,
BALTIMORE,MD,,MINNEAPOLIS,MN,,VAN,,
BALTIMORE,MD,,MEMPHIS,TN,,VAN,,
BALTIMORE,MD,,COLUMBUS,OH,,VAN,,
BALTIMORE,MD,,LOUISVILLE,KY,,VAN,,
BALTIMORE,MD,,CHARLOTTE,NC,,VAN,,
BALTIMORE,MD,,DETROIT,MI,,VAN,,
BALTIMORE,MD,,ST LOUIS,MO,,VAN,,
BALTIMORE,MD,,MILWAUKEE,WI,,VAN,,
BALTIMORE,MD,,JACKSONVILLE,FL,,VAN,,
BALTIMORE,MD,,NEW ORLEANS,LA,,VAN,,
MILWAUKEE,WI,,ATLANTA,GA,,VAN,,
MILWAUKEE,WI,,CHICAGO,IL,,VAN,,
MILWAUKEE,WI,,DALLAS,TX,,VAN,,
MILWAUKEE,WI,,LOS ANGELES,CA,,VAN,,
MILWAUKEE,WI,,PHILADELPHIA,PA,,VAN,,
MILWAUKEE,WI,,SEATTLE,WA,,VAN,,
MILWAUKEE,WI,,HOUSTON,TX,,VAN,,
MILWAUKEE,WI,,MINNEAPOLIS,MN,,VAN,,
MILWAUKEE,WI,,MEMPHIS,TN,,VAN,,
MILWAUKEE,WI,,COLUMBUS,OH,,VAN,,
MILWAUKEE,WI,,LOUISVILLE,KY,,VAN,,
MILWAUKEE,WI,,CHARLOTTE,NC,,VAN,,
MILWAUKEE,WI,,DETROIT,MI,,VAN,,
MILWAUKEE,WI,,ST LOUIS,MO,,VAN,,
MILWAUKEE,WI,,BALTIMORE,MD,,VAN,,
MILWAUKEE,WI,,JACKSONVILLE,FL,,VAN,,
MILWAUKEE,WI,,NEW ORLEANS,LA,,VAN,,
JACKSONVILLE,FL,,ATLANTA,GA,,VAN,,
JACKSONVILLE,FL,,CHICAGO,IL,,VAN,,
JACKSONVILLE,FL,,DALLAS,TX,,VAN,,
JACKSONVILLE,FL,,LOS ANGELES,CA,,VAN,,
JACKSONVILLE,FL,,PHILADELPHIA,PA,,VAN,,
JACKSONVILLE,FL,,SEATTLE,WA,,VAN,,
JACKSONVILLE,FL,,HOUSTON,TX,,VAN,,
JACKSONVILLE,FL,,MINNEAPOLIS,MN,,VAN,,
JACKSONVILLE,FL,,MEMPHIS,TN,,VAN,,
JACKSONVILLE,FL,,COLUMBUS,OH,,VAN,,
JACKSONVILLE,FL,,LOUISVILLE,KY,,VAN,,
JACKSONVILLE,FL,,CHARLOTTE,NC,,VAN,,
JACKSONVILLE,FL,,DETROIT,MI,,VAN,,
JACKSONVILLE,FL,,ST LOUIS,MO,,VAN,,
JACKSONVILLE,FL,,BALTIMORE,MD,,VAN,,
JACKSONVILLE,FL,,MILWAUKEE,WI,,VAN,,
JACKSONVILLE,FL,,NEW ORLEANS,LA,,VAN,,
NEW ORLEANS,LA,,ATLANTA,GA,,VAN,,
NEW ORLEANS,LA,,CHICAGO,IL,,VAN,,
NEW ORLEANS,LA,,DALLAS,TX,,VAN,,
NEW ORLEANS,LA,,LOS ANGELES,CA,,VAN,,
NEW ORLEANS,LA,,PHILADELPHIA,PA,,VAN,,
NEW ORLEANS,LA,,SEATTLE,WA,,VAN,,
NEW ORLEANS,LA,,HOUSTON,TX,,VAN,,
NEW ORLEANS,LA,,MINNEAPOLIS,MN,,VAN,,
NEW ORLEANS,LA,,MEMPHIS,TN,,VAN,,
NEW ORLEANS,LA,,COLUMBUS,OH,,VAN,,
NEW ORLEANS,LA,,LOUISVILLE,KY,,VAN,,
NEW ORLEANS,LA,,CHARLOTTE,NC,,VAN,,
NEW ORLEANS,LA,,DETROIT,MI,,VAN,,
NEW ORLEANS,LA,,ST LOUIS,MO,,VAN,,
NEW ORLEANS,LA,,BALTIMORE,MD,,VAN,,
NEW ORLEANS,LA,,MILWAUKEE,WI,,VAN,,
NEW ORLEANS,LA,,JACKSONVILLE,FL,,VAN,,
